"","dormitory","address_of_dormitory","lon","lat"
"1","Acacia Lodge","540 Bukit Batok Street 23, Singapore 659553",103.75572,1.339981
"2","Toh Guan Dormitory","19A Toh Guan Road East, Singapore 608567",103.753148,1.338199
"3","Westlite Dormitory Toh Guan Pte Ltd","18 Toh Guan Road East, Singapore 608591",103.751472,1.335832
"4","Kian Teck Dormitory","26 Kian Teck Avenue, Singapore 628920",103.6952288,1.3286465
"5","Kian Teck Hostel","30 Kian Teck Avenue, Singapore 628921",103.693899,1.332903
"6","Blue Stars Dormitory","3 Kian Teck Lane, Singapore 627844",103.695299,1.3328199
"7","Jurong Apartments","529 Upper Jurong Road, Singapore 638355",103.676803,1.329314
"8","Avery Lodge","2D Jalan Papan, Singapore 619415",103.730124,1.320429
"9","Cassia @ Penjuru","11 Penjuru Walk, Singapore 608541",103.733024,1.3178285
"10","Centurion / Lian Beng (Papan) Pte Ltd","5C Jalan Papan, Singapore 619420",103.7278046,1.3221507
"11","Jurong Penjuru Dormitory 1","58 Penjuru Place, Singapore 608562",103.731092,1.316282
"12","Jurong Penjuru Dormitory 2","36 Penjuru Place, Singapore 608560",103.732232,1.316245
"13","CDPL Tuas Dormitory","6 Tuas South Street 15, Singapore 636906",103.6376793,1.2724532
"14","SCM Tuas Lodge","80 Tuas South Boulevard, Singapore 637051",103.6142037,1.2642102
"15","Tuas South Dormitory","1 Tuas South Street 12, Singapore 636946",103.6324395,1.2722916
"16","Tuas View Dormitory","70 Tuas South Avenue 1, Singapore 637285",103.6256902,1.3140821
"17","Seatown Dormitory","69H Tuas South Avenue 1 Singapore 637509",103.627911,1.314398
"18","CPR Dormitory","Tuas South Boulevard",103.6144124,1.2587281
"19","Hai Leck Enginering Dormitory","12 Tuas Drive 1, Singapore 638679",103.658645,1.32314
"20","DDJV Dormitory","200A Tuas South Boulevard, Singapore 637060",103.6163934,1.2341166
"21","Space @ Tuas Apartments","14 Tuas Ave 1, Singapore 639499",103.660862,1.3218705
"22","Alaunia Lodge","Admiralty Road West, Singapore 759956",103.7986363,1.4560244
"23","Cochrane Lodge 1","51 Admiralty Road West, Singapore 757443",103.8201,1.4598279
"24","Cochrane Lodge 2","49 Admiralty Road West, Singapore 757444",103.8180487,1.4614063
"25","Hulett Dormitory","20 Senoko Drive, Singapore 758207",103.800434,1.459892
"26","North Coast Lodge","51 North Coast Avenue, Singapore 756992",103.7873484,1.4561036
"27","Westlite Woodlands Dormitory","2 Woodlands Sector 2, Singapore 737723",103.8093672,1.4607326
"28","Woodlands Dormitory","27 Woodlands Sector 1, Singapore 738252",103.80461,1.454745
"29","Woodlands Lodge 1","50 Woodlands Industrial Park E4, Singapore 757388",103.7957875,1.4498589
"30","Woodlands Lodge 2","190 Woodlands Industrial Park E7, Singapore 757178",103.7964426,1.4509949
"31","Mandai Lodge 1","460 Mandai Road, Singapore 729760",103.7686363,1.4107043
"32","Westlite Juniper","23 Mandai Estate, Singapore 729937",103.7597008,1.4063852
"33","Westlite Mandai Dormitory","34 Mandai Estate, Singapore 729940",103.758193,1.40717
"34","Kranji Lodge 1","12 Kranji Road, Singapore 739522",103.7589415,1.4285392
"35","Sungei Tengah Lodge","500 Old Choa Chu Kang Road, Singapore 698924",103.7222731,1.374163
"36","PPT Lodge 1A","8 Seletar North Link, Singapore 797455",103.8965299,1.4190013
"37","PPT Lodge 1B","2 Seletar North Link, Singapore 797601",103.8961109,1.4167298
"38","SSKBJV Package 1 Workers<U+0092> Dormitory","MK31 on Lot 04962N at Changi Coast Road",104.0034577,1.3770539
"39","MOT Dormitory","Lamp post 192, Changi Coast Road",104.0034577,1.3770539
"40","Changi Lodge 2","80 Tanah Merah Coast Road, Singapore 498736",103.9971406,1.312778
"41","Tampines Dormitory","2 Tampines Place, Singapore 528821",103.929454,1.366664
"42","Homestay Lodge","39 Kaki Bukit Avenue 3, Singapore 415920",103.9096411,1.338132
"43","Shaw Lodge Dormitory","12 Shaw Road, Singapore 367951",103.8846556,1.3369367
"44","The Leo","25 Kaki Bukit Road 3, Singapore 415815",103.9026321,1.3378017
"45","Central Staff Apartments","60 Boundary Close, Singapore 567730",103.8752246,1.3541269
"46","Pasir Panjang Residence","33 Harbour Drive, Singapore 117606",103.7740864,1.2844285
"47","Brani Residence","81 Brani Terminal Avenue, Singapore 098323",103.832155,1.261673
